strID,strDipole,strAnisoPolar,strHarmFreq1,strHarmFreq2,strHarmFreq3,strZeroPointEner,strvdWGlobalMin,strvdWGlobalMax,strvdWTotalVar,strvdWMinimaNum,strvdWMaximaNum,strvdWMinimaSum,strvdWMaximaSum,strSASA,strSphereUSR,strLineUSR,strPlanUSR,strExpSolv
1017962,1.6171,42.8611309,3123.6664,3090.3903,3061.6472,127.35714,-0.056404,0.026653,0.00036711,1,10,-0.05640449,0.20518113,367.2321472,0.391220985,0.5023095,0.450082551,-2.49
1019269,1.5555,16.27678629,3778.3125,3062.6775,3058.655,85.6308,-0.052377,0.061443,0.00041288,1,3,-0.05237672,0.09434226,266.4310913,0.605795697,0.793385559,0.719913544,-4.72
1034539,1.0564,164.8768857,3184.8509,3184.1249,3175.3266,76.83731,-0.019113,0.040378,0.00011131,0,13,0,0.35137025,484.2251587,0.406132126,0.532497147,0.469932007,-3.04
1036761,1.2323,15.8807355,3498.0354,3428.6762,3031.6185,116.93798,-0.056997,0.034907,0.00034266,1,2,-0.05699738,0.06979167,287.5821228,0.663267798,0.762635671,0.82869185,-4.59
1046331,1.8997,61.11856671,3235.1832,3175.2807,3165.7493,71.55991,-0.047273,0.036446,0.00023162,1,7,-0.04727338,0.19882433,293.6298218,0.585018838,0.838621629,0.660800492,-3.82
1075836,1.7639,22.00639534,3124.4644,3090.3141,3089.759,73.98643,-0.055943,0.027069,0.00035561,1,9,-0.05594252,0.19781957,268.3211975,0.621859337,0.878018032,0.672746539,-2.93
1079207,1.6845,65.90332759,3195.871,3186.3449,3182.4707,50.76067,-0.014161,0.036113,0.00013425,0,4,0,0.13261806,285.2412109,0.669970733,0.720215589,0.842513913,-0.98
1107178,2.1776,26.48692345,3144.7125,3090.6598,3083.3666,40.75785,-0.020799,0.030286,0.000088,0,7,0,0.17243502,224.2232208,0.674799947,0.566268595,0.687158789,-0.74
1139153,0.1096,16.93405749,3081.4455,3065.5648,3061.3706,152.75087,-0.004394,0.014167,0.00001289,0,0,0,0,333.6851196,0.634526675,0.836265139,0.675349938,2.89
1144156,1.1001,16.80909667,3082.8761,3082.6622,3078.7015,85.21244,-0.048361,0.016697,0.00023411,1,2,-0.04836099,0.03338006,267.7637634,0.654646788,0.932509551,0.696229008,-1.59
1160109,2.7499,44.26463264,3193.4481,3118.2263,3089.1145,149.78111,-0.059151,0.026196,0.00042454,1,14,-0.05915059,0.29941592,368.0699463,0.471923093,0.650588831,0.560317048,-3.75
1178614,0.9647,56.63467219,3709.4492,3179.0231,3173.289,59.57185,-0.03327,0.060793,0.00016895,1,6,-0.03326984,0.18758132,277.5861816,0.706376713,0.794863673,0.839633851,-4.55
1189457,1.6592,56.88945168,3168.3262,3162.56,3155.8719,80.5716,-0.033613,0.025789,0.00010928,2,8,-0.06520494,0.18686039,308.5884399,0.578807118,0.831313064,0.639259373,-2.73
1199854,2.3008,37.37301328,3135.9615,3073.761,3068.8416,58.62488,-0.021387,0.029409,0.0000776,0,8,0,0.18321513,260.1125183,0.654881546,0.63848701,0.739195772,-0.53
1231151,2.3379,13.65686941,3097.3506,3092.6555,3075.5668,59.03951,-0.027355,0.027894,0.00010171,0,8,0,0.18480527,236.2272644,0.838644203,0.639651611,0.759639663,-0.25
1235151,4.215,27.8990685,3126.2812,3066.6207,3063.7813,102.62829,-0.050684,0.037948,0.00023001,2,11,-0.10136616,0.30822222,320.7297058,0.504047518,0.716692708,0.606187551,-2.82
1244778,1.6649,17.42364084,3762.2548,3041.4509,3032.8308,126.9823,-0.053702,0.057342,0.00039172,1,2,-0.05370238,0.0732372,302.3509827,0.632425077,0.73282297,0.778565784,-5.48
1261349,0.0003,0.008544004,3057.142,3056.9086,3056.7263,99.41819,-0.003611,0.012022,0.00001337,0,0,0,0,261.1323853,0.999800924,0.625958054,0.748966114,2.51
1278715,0,7.061676996,918.0687,804.2047,802.6768,10.94373,-0.00711,0.028794,0.0000682,0,6,0,0.17250685,303.9263611,0.882054211,0.658526628,0.790166789,-0.64
129464,1.055,44.39446294,3062.4754,3062.3695,3058.3367,156.37393,-0.049243,0.013066,0.00020278,1,0,-0.04924274,0,396.0010071,0.37035767,0.475649524,0.410328903,-0.83
1323538,1.2903,25.4312494,3090.6219,3090.4512,3090.2792,137.20306,-0.068077,0.022121,0.00039354,4,15,-0.17602218,0.28129476,415.2457275,0.498368546,0.633928178,0.540043929,-7.5
1328465,1.2457,26.94790944,3136.3793,3114.9808,3070.9414,30.25132,-0.020915,0.044984,0.00021426,0,6,0,0.20513684,253.9595947,0.822621948,0.640666685,0.770392943,-1.99
1328936,4.5125,100.5735195,3205.7722,3204.9305,3190.1467,91.1124,-0.047858,0.037842,0.00025137,3,13,-0.13814076,0.42616257,364.9847107,0.456535304,0.617574016,0.516333738,-6.88
1352110,2.3354,56.5312746,3095.0247,3091.5078,3081.6193,189.09507,-0.058529,0.02873,0.00028097,1,8,-0.05852942,0.16068499,474.2205505,0.390829241,0.475987896,0.447718838,-3.64
1363784,2.7186,51.71020232,3118.9279,3110.0794,3106.1534,89.77947,-0.061659,0.029836,0.00033102,1,7,-0.06165932,0.16264612,298.6153259,0.625171033,0.917205834,0.671882185,-4.84
1396156,2.6392,96.16529748,1563.6706,1539.3101,1525.1669,33.67768,-0.036124,0.034514,0.00022537,2,15,-0.07224638,0.44849518,382.7602539,0.607059967,0.823382729,0.706021287,-5.22
1417007,3.7736,70.89073628,3139.3986,3119.0915,3038.0982,100.35216,-0.050219,0.050485,0.00033343,2,10,-0.10019639,0.31586193,436.8200989,0.409756504,0.519844278,0.472379349,-9.01
1424265,0.3763,52.94597895,3153.6103,3136.3353,3128.0365,97.0926,-0.026679,0.019753,0.00008849,0,8,0,0.14286077,305.2533264,0.626862407,0.87750809,0.679412008,-0.83
1449384,0.0396,62.61407228,3145.3508,3140.4088,3125.3994,132.61736,-0.025845,0.021087,0.00009114,0,6,0,0.11089997,361.7276306,0.48739636,0.664883437,0.547466926,-0.68
1469079,3.0872,166.7520674,3191.4078,3189.8709,3179.8329,92.79788,-0.024312,0.032211,0.0001222,0,8,0,0.24290663,403.6155396,0.41273613,0.540229734,0.478796491,-3.56
1502181,2.7876,50.0022285,3113.6998,3060.0791,3059.4523,159.01628,-0.059396,0.030234,0.00048655,1,5,-0.05939569,0.13212793,408.3388062,0.358090736,0.455604938,0.406784709,-2.49
1520842,2.7972,42.29582747,3149.0087,3146.9323,3118.9248,72.5597,-0.060629,0.02935,0.00033151,1,7,-0.06062889,0.17641111,267.8353577,0.746296699,0.794837965,0.799576082,-4.93
1527293,0.3201,136.8918096,3695.2653,3181.4616,3167.7049,152.82014,-0.04756,0.076378,0.00025202,1,12,-0.04755961,0.33782045,464.3638916,0.375842443,0.475915603,0.413901745,-8.42
1563176,1.8227,27.63321031,3066.6011,3063.9992,3057.9615,82.3203,-0.034223,0.028932,0.00012899,2,8,-0.06779809,0.15919528,280.4614868,0.638429888,0.824470973,0.728791494,-0.99
1571523,0.6048,56.11813723,3780.3339,3158.9312,3140.604,99.99071,-0.032609,0.074559,0.00026627,2,6,-0.06481363,0.16239614,307.4805908,0.665317904,0.830764121,0.7133382,-6.16
1592519,1.7839,49.00807205,3087.8383,3080.8987,3061.3224,144.98043,-0.057771,0.022675,0.00037467,1,10,-0.05777055,0.19636083,397.9256592,0.375959605,0.480200361,0.417678014,-2.23
1615431,1.2334,16.46343852,3082.101,3081.8002,3076.9188,120.09505,-0.049456,0.017878,0.0002098,1,6,-0.04945567,0.10119138,316.2345886,0.665645272,0.844323062,0.688974769,-0.53
1636752,1.661,3.342174741,3779.8126,3074.6865,2992.6755,32.00113,-0.05145,0.063615,0.00045341,1,5,-0.0514502,0.13529051,163.0266113,0.695977166,0.534104465,0.622798286,-5.1
1650157,1.6132,3.091753871,3753.3982,3083.6736,3082.4972,84.70878,-0.053216,0.057896,0.0004184,1,4,-0.05321588,0.11513183,251.5701294,0.947043358,0.62614441,0.74981806,-4.47
