id,smiles
mobley_1017962,CCCCCC(=O)OC
mobley_1019269,CCCCO
mobley_1034539,c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl
mobley_1036761,C1CCC(CC1)N
mobley_1046331,c1ccc(cc1)OC=O
mobley_1075836,CCC(=O)OC
mobley_1079207,c1cc(cc(c1)Cl)Cl
mobley_1107178,CCI
mobley_1139153,CC(C)CC(C)(C)C
mobley_1144156,CCOCC
mobley_1160109,C[C@@H]1CC[C@H](CC1=O)C(=C)C
mobley_1178614,c1ccc(c(c1)O)Cl
mobley_1189457,CSc1ccccc1
mobley_1199854,CCCI
mobley_1231151,CC(C)Cl
mobley_1235151,CCCCC[N+](=O)[O-]
mobley_1244778,C1CCCC(CC1)O
mobley_1261349,CC(C)(C)C
mobley_1278715,C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl
mobley_129464,CCCCOCCCC
mobley_1323538,CCOP(=O)(OCC)OCC
mobley_1328465,C(C(Cl)Cl)Cl
mobley_1328936,COC(=O)c1ccc(cc1)[N+](=O)[O-]
mobley_1352110,CCCCN(CC)C(=O)SCCC
mobley_1363784,Cc1cc(cnc1)C
mobley_1396156,c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O
mobley_1417007,C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl
mobley_1424265,Cc1cccc(c1)C
mobley_1449384,Cc1ccc(cc1)C(C)C
mobley_1469079,c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl
mobley_1502181,CCCCCCCC(=O)C
mobley_1520842,Cc1ccncc1
mobley_1527293,C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O
mobley_1563176,CCCCS
mobley_1571523,Cc1cccc(c1C)O
mobley_1592519,CCCCCC(=O)OCC
mobley_1615431,CC(C)OC(C)C
mobley_1636752,CO
mobley_1650157,CC(C)(C)O
mobley_1659169,C1COCCN1
mobley_1662128,CCC=C
mobley_1674094,CCCCC#C
mobley_1708457,CS(=O)(=O)C
mobley_1717215,COC=O
mobley_1722522,CCCC(=O)OCC
mobley_1723043,C1(C(C(C1(F)F)(F)F)(F)F)(F)F
mobley_1728386,c1ccc(cc1)C(=O)N
mobley_172879,c1ccc2c(c1)Oc3ccccc3O2
mobley_1733799,c1cc(ccc1O)Br
mobley_1735893,CCCCCC(=O)O
mobley_1743409,CCOC(=O)CCC(=O)OCC
mobley_1755375,Cc1cccc(c1O)C
mobley_1760914,Cc1ccccc1Cl
mobley_1770205,COP(=S)(OC)SCn1c(=O)c2ccccc2nn1
mobley_1781152,CC(C)(C)C(=O)OC
mobley_1792062,C(CBr)Br
mobley_1800170,CCS
mobley_1803862,CCC(C)C
mobley_1821184,Cc1c[nH]c2c1cccc2
